"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 28 00:20:40 GMT 2023","Thu Dec 28 00:20:40 GMT 2023","355","","スモークテスト","","","","example.comにアクセスする",""
"passed","Thu Dec 28 00:20:38 GMT 2023","Thu Dec 28 00:20:40 GMT 2023","1649","","一般的なエラーのテスト","","","","ユーザーが存在しないURLにアクセスすると、エラーメッセージと商品一覧へのリンクが表示される",""
"passed","Thu Dec 28 00:20:40 GMT 2023","Thu Dec 28 00:20:42 GMT 2023","2275","","スモークテスト","","","","Webサイトを開きログインする",""
